lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.2	0.0001	300	200	128	0.0001	0.9	0.0005	91.95	1152	1:21:36.581740	1:02:18.503320	91.65	0.1456
0.01	0.2	0.001	300	200	128	0.0001	0.9	0.0005	92.01	576	1:22:26.178374	1:02:46.184625	91.78	0.1448
0.01	0.2	0.005	300	200	128	0.0001	0.9	0.0005	91.94	0	1:22:11.844986	1:02:13.104834	91.76	0.1448
0.01	0.2	0.01	300	200	128	0.0001	0.9	0.0005	92.3	576	1:21:24.214809	1:02:11.880064	91.97	0.1429
0.01	0.2	0.1	300	200	128	0.0001	0.9	0.0005	91.92	2304	1:21:35.687556	1:02:07.311788	91.55	0.1196
0.01	0.2	0.3	300	200	128	0.0001	0.9	0.0005	91.79	0	1:21:39.724306	1:02:26.090276	91.58	0.0847
0.01	0.2	0.6	300	200	128	0.0001	0.9	0.0005	91.92	0	1:21:21.182246	1:02:09.604769	91.57	0.1322
0.01	0.5	0.0001	300	200	128	0.0001	0.9	0.0005	91.6	51840	1:21:34.771881	1:02:16.912337	91.21	0.2302
0.01	0.5	0.001	300	200	128	0.0001	0.9	0.0005	91.64	59616	1:21:26.024229	1:02:10.146964	91.41	0.232
0.01	0.5	0.005	300	200	128	0.0001	0.9	0.0005	91.41	54144	1:21:42.417129	1:02:30.267842	91.23	0.2292
0.01	0.5	0.01	300	200	128	0.0001	0.9	0.0005	91.56	56448	1:21:49.557889	1:02:30.458881	91.27	0.2322
0.01	0.5	0.1	300	200	128	0.0001	0.9	0.0005	91.83	57024	1:22:46.941512	1:03:06.110908	91.31	0.1873
0.01	0.5	0.3	300	200	128	0.0001	0.9	0.0005	92.25	1728	1:21:49.041010	1:02:13.466209	92.02	0.1396
0.01	0.5	0.6	300	200	128	0.0001	0.9	0.0005	92.04	45504	1:21:14.553297	1:02:02.913619	91.87	0.2086
0.01	0.8	0.0001	300	200	128	0.0001	0.9	0.0005	91.15	118368	1:21:30.145362	1:02:06.330035	91.06	0.2787
0.01	0.8	0.001	300	200	128	0.0001	0.9	0.0005	90.53	118368	1:21:16.420623	1:02:02.434628	90.48	0.2798
0.01	0.8	0.005	300	200	128	0.0001	0.9	0.0005	90.73	117216	1:21:26.886011	1:02:18.658100	90.23	0.2807
0.01	0.8	0.01	300	200	128	0.0001	0.9	0.0005	90.64	125568	1:21:05.853709	1:01:52.383815	90.25	0.2818
0.01	0.8	0.1	300	200	128	0.0001	0.9	0.0005	90.64	97488	1:21:48.509373	1:02:06.775128	90.55	0.2338
0.01	0.8	0.3	300	200	128	0.0001	0.9	0.0005	91.87	21888	1:22:25.608768	1:02:16.312757	91.62	0.1815
0.01	0.8	0.6	300	200	128	0.0001	0.9	0.0005	91.41	112896	1:21:15.895260	1:02:05.854173	91.02	0.251
0.01	1.1	0.0001	300	200	128	0.0001	0.9	0.0005	89.79	154395	1:22:43.490829	1:03:03.526917	89.71	0.3226
0.01	1.1	0.001	300	200	128	0.0001	0.9	0.0005	90.16	159003	1:22:27.691531	1:02:26.882621	89.81	0.3228
0.01	1.1	0.005	300	200	128	0.0001	0.9	0.0005	90.48	148608	1:22:18.396068	1:02:15.093883	90.01	0.3235
0.01	1.1	0.01	300	200	128	0.0001	0.9	0.0005	90.71	148896	1:21:21.714218	1:02:13.432799	89.89	0.3219
0.01	1.1	0.1	300	200	128	0.0001	0.9	0.0005	89.95	142272	1:21:22.903519	1:02:11.119315	89.82	0.2731
0.01	1.1	0.3	300	200	128	0.0001	0.9	0.0005	92.05	70560	1:21:15.582709	1:02:06.540969	91.79	0.2
0.01	1.1	0.6	300	200	128	0.0001	0.9	0.0005	90.09	143136	1:21:32.222015	1:02:16.837530	89.79	0.2904
0.01	1.4	0.0001	300	200	128	0.0001	0.9	0.0005	89.81	178560	1:21:23.546207	1:02:13.400735	89.28	0.3518
0.01	1.4	0.001	300	200	128	0.0001	0.9	0.0005	89.77	178416	1:22:29.442250	1:02:50.382284	89.28	0.3512
0.01	1.4	0.005	300	200	128	0.0001	0.9	0.0005	90.07	180288	1:22:35.691106	1:02:20.036204	89.63	0.3527
0.01	1.4	0.01	300	200	128	0.0001	0.9	0.0005	89.64	176832	1:21:19.267712	1:02:08.728559	89.25	0.3543
0.01	1.4	0.1	300	200	128	0.0001	0.9	0.0005	89.71	165456	1:21:01.878462	1:01:55.084228	88.89	0.3153
0.01	1.4	0.3	300	200	128	0.0001	0.9	0.0005	91.4	109440	1:20:57.552288	1:01:51.114200	91.17	0.2254
0.01	1.4	0.6	300	200	128	0.0001	0.9	0.0005	90.23	173664	1:22:04.724350	1:02:31.900378	90.35	0.3126
0.01	1.7	0.0001	300	200	128	0.0001	0.9	0.0005	89.18	185184	1:23:03.159233	1:03:12.407840	88.84	0.3855
0.01	1.7	0.001	300	200	128	0.0001	0.9	0.0005	89.34	184464	1:21:29.341916	1:01:49.905955	88.56	0.383
0.01	1.7	0.005	300	200	128	0.0001	0.9	0.0005	89.2	188064	1:21:23.682700	1:02:08.436570	88.46	0.3813
0.01	1.7	0.01	300	200	128	0.0001	0.9	0.0005	89.92	184464	1:21:05.396841	1:01:49.346340	89.3	0.3778
0.01	1.7	0.1	300	200	128	0.0001	0.9	0.0005	89.42	183168	1:21:22.201062	1:02:04.810556	88.81	0.3346
0.01	1.7	0.3	300	200	128	0.0001	0.9	0.0005	91.12	120672	1:21:06.659202	1:01:58.677628	90.87	0.251
0.01	1.7	0.6	300	200	128	0.0001	0.9	0.0005	89.88	177696	1:21:19.830898	1:02:07.286697	89.22	0.3357
0.1	0.2	0.0001	300	200	128	0.0001	0.9	0.0005	91.74	117090	1:21:13.330369	1:02:06.944338	90.86	0.2241
0.1	0.2	0.001	300	200	128	0.0001	0.9	0.0005	91.49	115884	1:21:18.719972	1:02:08.700384	91.07	0.2196
0.1	0.2	0.005	300	200	128	0.0001	0.9	0.0005	91.37	111420	1:21:21.739694	1:02:07.788486	90.96	0.2279
0.1	0.2	0.01	300	200	128	0.0001	0.9	0.0005	91.64	118161	1:21:18.649523	1:02:11.632950	91.05	0.223
0.1	0.2	0.1	300	200	128	0.0001	0.9	0.0005	91.27	106119	1:21:18.044469	1:02:09.152202	90.83	0.2079
0.1	0.2	0.3	300	200	128	0.0001	0.9	0.0005	92.86	50967	1:21:20.725365	1:02:11.847873	92.46	0.1276
0.1	0.2	0.6	300	200	128	0.0001	0.9	0.0005	91.84	103698	1:20:47.893384	1:01:42.822335	90.94	0.2036
0.1	0.5	0.0001	300	200	128	0.0001	0.9	0.0005	89.47	187794	1:21:53.914100	1:02:31.431697	88.13	0.3963
0.1	0.5	0.001	300	200	128	0.0001	0.9	0.0005	90.01	183366	1:22:42.629819	1:02:23.580675	88.24	0.3878
0.1	0.5	0.005	300	200	128	0.0001	0.9	0.0005	88.98	199575	1:21:18.335404	1:02:07.894802	87.62	0.3995
0.1	0.5	0.01	300	200	128	0.0001	0.9	0.0005	89.73	186615	1:22:02.633640	1:02:38.281417	87.97	0.3942
0.1	0.5	0.1	300	200	128	0.0001	0.9	0.0005	89.92	177057	1:22:47.564129	1:02:43.595504	88.08	0.3808
0.1	0.5	0.3	300	200	128	0.0001	0.9	0.0005	91.28	144945	1:22:31.887612	1:02:15.407378	90.39	0.2311
0.1	0.5	0.6	300	200	128	0.0001	0.9	0.0005	90.4	173016	1:21:24.401644	1:02:10.912276	89.2	0.3614
0.1	0.8	0.0001	300	200	128	0.0001	0.9	0.0005	87.12	217341	1:21:27.538846	1:02:16.554105	84.83	0.496
0.1	0.8	0.001	300	200	128	0.0001	0.9	0.0005	88.0	213372	1:21:23.800507	1:02:12.151422	84.56	0.4883
0.1	0.8	0.005	300	200	128	0.0001	0.9	0.0005	87.61	208818	1:21:20.862866	1:02:14.216703	84.77	0.4842
0.1	0.8	0.01	300	200	128	0.0001	0.9	0.0005	87.9	211068	1:21:22.275649	1:02:12.400488	86.17	0.4834
0.1	0.8	0.1	300	200	128	0.0001	0.9	0.0005	87.36	212364	1:21:20.954228	1:02:12.909783	84.98	0.4849
0.1	0.8	0.3	300	200	128	0.0001	0.9	0.0005	89.74	179964	1:21:24.521501	1:02:11.191967	89.09	0.3117
0.1	0.8	0.6	300	200	128	0.0001	0.9	0.0005	89.15	207612	1:21:21.188301	1:02:09.819722	87.37	0.4206
0.1	1.1	0.0001	300	200	128	0.0001	0.9	0.0005	84.81	234621	1:22:33.120711	1:02:12.976072	82.73	0.5813
0.1	1.1	0.001	300	200	128	0.0001	0.9	0.0005	86.27	221805	1:21:14.706117	1:02:07.589393	83.1	0.5876
0.1	1.1	0.005	300	200	128	0.0001	0.9	0.0005	85.73	224541	1:21:25.835013	1:02:15.244760	82.71	0.5869
0.1	1.1	0.01	300	200	128	0.0001	0.9	0.0005	85.26	232893	1:21:17.573322	1:02:10.119981	82.13	0.5724
0.1	1.1	0.1	300	200	128	0.0001	0.9	0.0005	86.03	223164	1:21:28.376086	1:02:14.963128	82.21	0.5572
0.1	1.1	0.3	300	200	128	0.0001	0.9	0.0005	89.36	200790	1:21:30.150001	1:02:22.905700	88.29	0.3476
0.1	1.1	0.6	300	200	128	0.0001	0.9	0.0005	87.35	225495	1:21:30.205965	1:02:16.503210	83.65	0.4969
0.1	1.4	0.0001	300	200	128	0.0001	0.9	0.0005	83.11	238680	1:21:26.685376	1:02:17.698026	78.38	0.6657
0.1	1.4	0.001	300	200	128	0.0001	0.9	0.0005	82.64	239283	1:21:22.732010	1:02:10.506706	78.69	0.6637
0.1	1.4	0.005	300	200	128	0.0001	0.9	0.0005	84.44	235170	1:21:22.986685	1:02:13.620037	79.75	0.6189
0.1	1.4	0.01	300	200	128	0.0001	0.9	0.0005	83.97	235602	1:21:20.962744	1:02:12.762803	78.96	0.6363
0.1	1.4	0.1	300	200	128	0.0001	0.9	0.0005	84.61	232812	1:21:47.046651	1:02:28.686544	80.46	0.6267
0.1	1.4	0.3	300	200	128	0.0001	0.9	0.0005	88.64	207612	1:22:49.400196	1:03:17.400943	87.29	0.4051
0.1	1.4	0.6	300	200	128	0.0001	0.9	0.0005	85.36	234648	1:22:37.484298	1:02:59.724759	82.92	0.5633
0.1	1.7	0.0001	300	200	128	0.0001	0.9	0.0005	81.1	244701	1:21:26.551589	1:02:18.715742	74.91	0.7139
0.1	1.7	0.001	300	200	128	0.0001	0.9	0.0005	80.12	247032	1:22:44.649541	1:02:20.898915	71.03	0.7534
0.1	1.7	0.005	300	200	128	0.0001	0.9	0.0005	81.17	244557	1:21:21.950555	1:02:07.148479	75.58	0.719
0.1	1.7	0.01	300	200	128	0.0001	0.9	0.0005	81.43	244701	1:21:09.876013	1:02:00.931267	74.15	0.7249
0.1	1.7	0.1	300	200	128	0.0001	0.9	0.0005	83.27	239058	1:21:25.314627	1:02:14.001989	78.73	0.6469
0.1	1.7	0.3	300	200	128	0.0001	0.9	0.0005	87.88	213921	1:21:17.256997	1:02:04.532489	86.6	0.4383
0.1	1.7	0.6	300	200	128	0.0001	0.9	0.0005	81.87	244647	1:21:17.797006	1:02:08.402335	77.88	0.6709
