lr	lambda	alpha	Final_Accuracy	Sparsity
0.01	0.2	0.0001	91.95	1152
0.01	0.2	0.001	92.01	576
0.01	0.2	0.005	91.94	0
0.01	0.2	0.01	92.3	576
0.01	0.2	0.1	91.92	2304
0.01	0.2	0.3	91.79	0
0.01	0.2	0.6	91.92	0
0.01	0.5	0.0001	91.6	51840
0.01	0.5	0.001	91.64	59616
0.01	0.5	0.005	91.41	54144
0.01	0.5	0.01	91.56	56448
0.01	0.5	0.1	91.83	57024
0.01	0.5	0.3	92.25	1728
0.01	0.5	0.6	92.04	45504
0.01	0.8	0.0001	91.15	118368
0.01	0.8	0.001	90.53	118368
0.01	0.8	0.005	90.73	117216
0.01	0.8	0.01	90.64	125568
0.01	0.8	0.1	90.64	97488
0.01	0.8	0.3	91.87	21888
0.01	0.8	0.6	91.41	112896
0.01	1.1	0.0001	89.79	154395
0.01	1.1	0.001	90.16	159003
0.01	1.1	0.005	90.48	148608
0.01	1.1	0.01	90.71	148896
0.01	1.1	0.1	89.95	142272
0.01	1.1	0.3	92.05	70560
0.01	1.1	0.6	90.09	143136
0.01	1.4	0.0001	89.81	178560
0.01	1.4	0.001	89.77	178416
0.01	1.4	0.005	90.07	180288
0.01	1.4	0.01	89.64	176832
0.01	1.4	0.1	89.71	165456
0.01	1.4	0.3	91.4	109440
0.01	1.4	0.6	90.23	173664
0.01	1.7	0.0001	89.18	185184
0.01	1.7	0.001	89.34	184464
0.01	1.7	0.005	89.2	188064
0.01	1.7	0.01	89.92	184464
0.01	1.7	0.1	89.42	183168
0.01	1.7	0.3	91.12	120672
0.01	1.7	0.6	89.88	177696
0.1	0.2	0.0001	91.74	117090
0.1	0.2	0.001	91.49	115884
0.1	0.2	0.005	91.37	111420
0.1	0.2	0.01	91.64	118161
0.1	0.2	0.1	91.27	106119
0.1	0.2	0.3	92.86	50967
0.1	0.2	0.6	91.84	103698
0.1	0.5	0.0001	89.47	187794
0.1	0.5	0.001	90.01	183366
0.1	0.5	0.005	88.98	199575
0.1	0.5	0.01	89.73	186615
0.1	0.5	0.1	89.92	177057
0.1	0.5	0.3	91.28	144945
0.1	0.5	0.6	90.4	173016
0.1	0.8	0.0001	87.12	217341
0.1	0.8	0.001	88.0	213372
0.1	0.8	0.005	87.61	208818
0.1	0.8	0.01	87.9	211068
0.1	0.8	0.1	87.36	212364
0.1	0.8	0.3	89.74	179964
0.1	0.8	0.6	89.15	207612
0.1	1.1	0.0001	84.81	234621
0.1	1.1	0.001	86.27	221805
0.1	1.1	0.005	85.73	224541
0.1	1.1	0.01	85.26	232893
0.1	1.1	0.1	86.03	223164
0.1	1.1	0.3	89.36	200790
0.1	1.1	0.6	87.35	225495
0.1	1.4	0.0001	83.11	238680
0.1	1.4	0.001	82.64	239283
0.1	1.4	0.005	84.44	235170
0.1	1.4	0.01	83.97	235602
0.1	1.4	0.1	84.61	232812
0.1	1.4	0.3	88.64	207612
0.1	1.4	0.6	85.36	234648
0.1	1.7	0.0001	81.1	244701
0.1	1.7	0.001	80.12	247032
0.1	1.7	0.005	81.17	244557
0.1	1.7	0.01	81.43	244701
0.1	1.7	0.1	83.27	239058
0.1	1.7	0.3	87.88	213921
0.1	1.7	0.6	81.87	244647
