lr	lambda	alpha	Accuracy	Final_Accuracy	Sparsity
0.01	0.2	0.0001	91.65	91.95	1152
0.01	0.2	0.001	91.78	92.01	576
0.01	0.2	0.005	91.76	91.94	0
0.01	0.2	0.01	91.97	92.3	576
0.01	0.2	0.1	91.55	91.92	2304
0.01	0.2	0.3	91.58	91.79	0
0.01	0.2	0.6	91.57	91.92	0
0.01	0.5	0.0001	91.21	91.6	51840
0.01	0.5	0.001	91.41	91.64	59616
0.01	0.5	0.005	91.23	91.41	54144
0.01	0.5	0.01	91.27	91.56	56448
0.01	0.5	0.1	91.31	91.83	57024
0.01	0.5	0.3	92.02	92.25	1728
0.01	0.5	0.6	91.87	92.04	45504
0.01	0.8	0.0001	91.06	91.15	118368
0.01	0.8	0.001	90.48	90.53	118368
0.01	0.8	0.005	90.23	90.73	117216
0.01	0.8	0.01	90.25	90.64	125568
0.01	0.8	0.1	90.55	90.64	97488
0.01	0.8	0.3	91.62	91.87	21888
0.01	0.8	0.6	91.02	91.41	112896
0.01	1.1	0.0001	89.71	89.79	154395
0.01	1.1	0.001	89.81	90.16	159003
0.01	1.1	0.005	90.01	90.48	148608
0.01	1.1	0.01	89.89	90.71	148896
0.01	1.1	0.1	89.82	89.95	142272
0.01	1.1	0.3	91.79	92.05	70560
0.01	1.1	0.6	89.79	90.09	143136
0.01	1.4	0.0001	89.28	89.81	178560
0.01	1.4	0.001	89.28	89.77	178416
0.01	1.4	0.005	89.63	90.07	180288
0.01	1.4	0.01	89.25	89.64	176832
0.01	1.4	0.1	88.89	89.71	165456
0.01	1.4	0.3	91.17	91.4	109440
0.01	1.4	0.6	90.35	90.23	173664
0.01	1.7	0.0001	88.84	89.18	185184
0.01	1.7	0.001	88.56	89.34	184464
0.01	1.7	0.005	88.46	89.2	188064
0.01	1.7	0.01	89.3	89.92	184464
0.01	1.7	0.1	88.81	89.42	183168
0.01	1.7	0.3	90.87	91.12	120672
0.01	1.7	0.6	89.22	89.88	177696
0.1	0.2	0.0001	90.86	91.74	117090
0.1	0.2	0.001	91.07	91.49	115884
0.1	0.2	0.005	90.96	91.37	111420
0.1	0.2	0.01	91.05	91.64	118161
0.1	0.2	0.1	90.83	91.27	106119
0.1	0.2	0.3	92.46	92.86	50967
0.1	0.2	0.6	90.94	91.84	103698
0.1	0.5	0.0001	88.13	89.47	187794
0.1	0.5	0.001	88.24	90.01	183366
0.1	0.5	0.005	87.62	88.98	199575
0.1	0.5	0.01	87.97	89.73	186615
0.1	0.5	0.1	88.08	89.92	177057
0.1	0.5	0.3	90.39	91.28	144945
0.1	0.5	0.6	89.2	90.4	173016
0.1	0.8	0.0001	84.83	87.12	217341
0.1	0.8	0.001	84.56	88.0	213372
0.1	0.8	0.005	84.77	87.61	208818
0.1	0.8	0.01	86.17	87.9	211068
0.1	0.8	0.1	84.98	87.36	212364
0.1	0.8	0.3	89.09	89.74	179964
0.1	0.8	0.6	87.37	89.15	207612
0.1	1.1	0.0001	82.73	84.81	234621
0.1	1.1	0.001	83.1	86.27	221805
0.1	1.1	0.005	82.71	85.73	224541
0.1	1.1	0.01	82.13	85.26	232893
0.1	1.1	0.1	82.21	86.03	223164
0.1	1.1	0.3	88.29	89.36	200790
0.1	1.1	0.6	83.65	87.35	225495
0.1	1.4	0.0001	78.38	83.11	238680
0.1	1.4	0.001	78.69	82.64	239283
0.1	1.4	0.005	79.75	84.44	235170
0.1	1.4	0.01	78.96	83.97	235602
0.1	1.4	0.1	80.46	84.61	232812
0.1	1.4	0.3	87.29	88.64	207612
0.1	1.4	0.6	82.92	85.36	234648
0.1	1.7	0.0001	74.91	81.1	244701
0.1	1.7	0.001	71.03	80.12	247032
0.1	1.7	0.005	75.58	81.17	244557
0.1	1.7	0.01	74.15	81.43	244701
0.1	1.7	0.1	78.73	83.27	239058
0.1	1.7	0.3	86.6	87.88	213921
0.1	1.7	0.6	77.88	81.87	244647
