lambda	alpha	Final_Accuracy	Sparsity
0.2	0.0001	93.36	470610
0.2	0.001	93.08	469026
0.2	0.01	93.43	393165
0.2	0.1	92.32	411048
0.2	0.3	92.14	364248
0.5	0.0001	91.52	654300
0.5	0.001	92.26	644382
0.5	0.01	91.46	635346
0.5	0.1	91.97	599661
0.5	0.3	92.27	581346
0.8	0.0001	91.68	686520
0.8	0.001	91.26	688248
0.8	0.01	91.25	709182
0.8	0.1	91.97	677565
0.8	0.3	91.05	671112
1.1	0.0001	90.57	713943
1.1	0.001	90.72	720819
1.1	0.01	90.25	721548
1.1	0.1	90.68	695502
1.1	0.3	91.44	694845
1.4	0.0001	90.55	735399
1.4	0.001	89.86	739719
1.4	0.01	89.67	741267
1.4	0.1	90.26	727938
1.4	0.3	90.55	720792
1.7	0.0001	88.75	763614
1.7	0.001	88.93	762615
1.7	0.01	89.35	754488
1.7	0.1	89.8	751842
1.7	0.3	89.99	742482
